Entity,Code,Daily time spent on the internet by young people (hours)
Austria,AUT,2.916666667
Belgium,BEL,3.95
Czech Republic,CZE,4.033333333
Estonia,EST,5.283333333
Finland,FIN,3.366666667
France,FRA,4.05
Germany,DEU,4.5
Hungary,HUN,3.816666667
Iceland,ISL,5.333333333
Ireland,IRL,3.733333333
Israel,ISR,4.416666667
Italy,ITA,3.666666667
Lithuania,LTU,3.966666667
Netherlands,NLD,6.033333333
Norway,NOR,4.916666667
OECD-22,,4.366666667
Poland,POL,3.466666667
Portugal,PRT,5.666666667
Slovenia,SVN,2.75
Spain,ESP,5.25
Sweden,SWE,5.516666667
Switzerland,CHE,3.6
United Kingdom,GBR,5.15
